1850 1 -2.514000 
1850 2 0.766000 
1850 3 -1.517000 
1850 4 -0.957000 
1850 5 -0.904000 
1850 6 0.260000 
1850 7 0.396000 
1850 8 0.718000 
1850 9 -0.457000 
1850 10 -1.138000 
1850 11 -0.359000 
1850 12 -0.192000 
1851 1 0.573000 
1851 2 -0.051000 
1851 3 -1.044000 
1851 4 -0.386000 
1851 5 -0.403000 
1851 6 0.060000 
1851 7 -0.207000 
1851 8 0.271000 
1851 9 0.063000 
1851 10 0.344000 
1851 11 -0.861000 
1851 12 -0.433000 
1852 1 -0.052000 
1852 2 -0.100000 
1852 3 -1.097000 
1852 4 -1.870000 
1852 5 0.203000 
1852 6 0.074000 
1852 7 0.209000 
1852 8 0.053000 
1852 9 -0.222000 
1852 10 -0.526000 
1852 11 -0.658000 
1852 12 1.322000 
1853 1 0.933000 
1853 2 -0.915000 
1853 3 -1.357000 
1853 4 -0.845000 
1853 5 -0.212000 
1853 6 0.084000 
1853 7 0.312000 
1853 8 0.279000 
1853 9 -0.247000 
1853 10 -0.084000 
1853 11 -0.475000 
1853 12 -1.402000 
1854 1 -0.517000 
1854 2 -0.154000 
1854 3 0.178000 
1854 4 -0.674000 
1854 5 0.413000 
1854 6 -0.218000 
1854 7 0.788000 
1854 8 0.498000 
1854 9 0.292000 
1854 10 0.609000 
1854 11 -0.849000 
1854 12 0.395000 
1855 1 -0.129000 
1855 2 -1.897000 
1855 3 -1.011000 
1855 4 0.491000 
1855 5 0.326000 
1855 6 0.003000 
1855 7 0.265000 
1855 8 0.189000 
1855 9 -0.173000 
1855 10 -0.024000 
1855 11 -0.658000 
1855 12 -2.220000 
1856 1 -0.442000 
1856 2 -0.830000 
1856 3 -1.864000 
1856 4 -0.032000 
1856 5 -0.382000 
1856 6 0.633000 
1856 7 -0.019000 
1856 8 -0.170000 
1856 9 -0.663000 
1856 10 -0.638000 
1856 11 -1.882000 
1856 12 -0.488000 
1857 1 -1.510000 
1857 2 0.408000 
1857 3 -0.791000 
1857 4 -1.605000 
1857 5 -0.805000 
1857 6 -0.143000 
1857 7 -0.029000 
1857 8 0.347000 
1857 9 -0.246000 
1857 10 -0.385000 
1857 11 -1.015000 
1857 12 1.047000 
1858 1 0.212000 
1858 2 -1.837000 
1858 3 -0.955000 
1858 4 -0.041000 
1858 5 -0.199000 
1858 6 0.744000 
1858 7 0.302000 
1858 8 -0.116000 
1858 9 0.062000 
1858 10 0.375000 
1858 11 -2.229000 
1858 12 -0.070000 
1859 1 0.340000 
1859 2 1.077000 
1859 3 0.456000 
1859 4 -0.042000 
1859 5 0.379000 
1859 6 0.208000 
1859 7 0.472000 
1859 8 0.295000 
1859 9 -0.380000 
1859 10 -0.297000 
1859 11 -0.250000 
1859 12 -1.623000 
1860 1 0.390000 
1860 2 -1.092000 
1860 3 -1.651000 
1860 4 -0.347000 
1860 5 -0.014000 
