1985 10 1 49.6300 0
1985 10 2 49.6200 0
1985 10 3 49.6200 0
1985 10 4 49.6700 0
1985 10 7 49.6400 0
1985 10 8 49.7200 0
1985 10 9 49.9400 0
1985 10 10 49.5700 0
1985 10 11 49.7800 0
1985 10 14 50.8000 0
1985 10 15 51.1200 0
1985 10 16 51.2800 0
1985 10 17 51.3300 0
1985 10 18 51.2300 0
1985 10 21 51.0100 0
1985 10 22 50.8700 0
1985 10 23 50.7100 0
1985 10 24 50.7100 0
1985 10 25 50.9700 0
1985 10 29 51.1600 0
1985 10 30 51.1100 0
1985 10 31 51.0100 0
1985 11 1 51.0900 0
1985 11 4 51.5700 0
1985 11 5 51.8500 0
1985 11 6 51.9500 0
1985 11 7 52.1600 0
1985 11 8 52.5100 0
1985 11 11 52.7500 0
1985 11 12 52.6700 0
1985 11 13 52.9600 0
1985 11 14 53.1400 0
1985 11 15 52.9700 0
1985 11 18 52.8400 0
1985 11 19 52.6800 0
1985 11 20 52.8500 0
1985 11 21 52.8400 0
1985 11 22 53.0900 0
1985 11 25 53.4700 0
1985 11 26 53.9300 0
1985 11 27 54.4600 0
1985 11 28 54.6600 0
1985 11 29 54.7600 0
1985 12 2 54.8100 0
1985 12 3 54.7300 0
1985 12 4 54.8600 0
1985 12 5 54.8100 0
1985 12 6 54.9300 0
1985 12 9 55.0500 0
1985 12 10 55.0400 0
1985 12 11 55.0400 0
1985 12 12 55.1100 0
1985 12 13 55.2400 0
1985 12 16 55.4300 0
1985 12 17 55.9300 0
1985 12 18 56.4600 0
1985 12 19 57.2200 0
1985 12 20 57.7900 0
1985 12 23 58.0100 0
1985 12 24 57.6500 0
1985 12 27 57.4400 0
1985 12 30 57.2100 0
1985 12 31 57.3300 0
1986 1 2 57.3600 0
1986 1 3 57.7500 0
1986 1 7 58.7800 0
1986 1 8 59.4200 0
1986 1 9 59.9600 0
1986 1 10 60.2500 0
1986 1 13 60.3900 0
1986 1 14 60.8700 0
1986 1 15 61.7900 0
1986 1 16 62.4500 0
1986 1 17 63.2800 0
1986 1 20 65.0200 0
1986 1 21 68.6600 0
1986 1 22 67.1700 0
1986 1 23 64.1100 0
1986 1 24 63.4000 0
1986 1 27 63.6600 0
1986 1 28 63.9900 0
1986 1 29 62.4700 0
1986 1 30 61.9600 0
1986 1 31 62.3700 0
1986 2 3 63.1600 0
1986 2 4 63.2300 0
1986 2 5 62.9400 0
1986 2 6 62.5800 0
1986 2 7 62.3900 0
1986 2 10 62.6300 0
1986 2 11 62.8200 0
1986 2 12 63.0500 0
1986 2 13 63.0100 0
1986 2 14 63.0500 0
1986 2 17 63.0700 0
1986 2 18 62.8900 0
1986 2 19 62.5800 0
1986 2 20 63.0300 0
1986 2 21 63.0400 0
1986 2 24 63.0500 0
1986 2 25 62.8500 0
1986 2 26 62.7400 0
1986 2 27 62.6300 0
1986 2 28 62.4700 0
1986 3 3 62.2000 0
1986 3 4 62.0500 0
1986 3 5 61.6600 0
1986 3 6 61.4700 0
1986 3 7 61.3200 0
1986 3 10 61.2300 0
1986 3 11 61.0500 0
1986 3 12 60.6600 0
1986 3 13 60.7800 0
1986 3 14 60.9100 0
1986 3 18 61.2700 0
1986 3 19 61.5500 0
1986 3 20 61.4100 0
1986 3 21 61.3500 0
1986 3 24 61.3500 0
1986 3 26 61.2900 0
1986 3 27 61.5200 0
1986 3 28 62.0400 0
1986 4 1 62.4000 0
1986 4 2 62.5800 0
1986 4 3 62.4700 0
1986 4 4 62.2400 0
1986 4 7 62.2800 0
1986 4 8 62.0900 0
1986 4 9 62.0000 0
1986 4 10 61.6600 0
1986 4 11 61.6300 0
1986 4 14 61.5900 0
1986 4 15 61.4700 0
1986 4 16 61.4200 0
1986 4 17 61.5800 0
1986 4 18 61.3900 0
1986 4 21 61.2700 0
1986 4 22 61.2800 0
1986 4 23 61.1100 0
1986 4 24 61.4700 0
1986 4 25 61.4200 0
1986 4 28 61.4400 0
1986 4 29 61.2900 0
1986 4 30 61.0900 0
1986 5 5 43.3400 0
1986 5 6 61.5800 0
1986 5 7 61.5600 0
1986 5 8 61.6700 0
1986 5 9 61.6800 0
1986 5 12 61.4300 0
1986 5 13 61.0000 0
1986 5 14 60.7100 0
1986 5 15 60.2500 0
1986 5 16 60.1600 0
1986 5 19 59.9000 0
1986 5 20 59.9800 0
1986 5 21 60.0600 0
1986 5 22 59.9200 0
1986 5 23 60.0400 0
1986 5 26 61.0900 0
1986 5 27 61.2700 0
1986 5 28 61.2300 0
1986 5 29 61.3300 0
1986 5 30 61.4100 0
1986 6 2 61.9200 0
1986 6 3 62.2900 0
1986 6 4 62.2700 0
1986 6 5 62.2200 0
1986 6 6 62.9900 0
1986 6 9 63.2500 0
1986 6 10 63.8700 0
1986 6 11 64.1200 0
1986 6 12 64.3200 0
1986 6 13 64.4400 0
1986 6 16 64.3500 0
1986 6 17 64.0500 0
1986 6 18 63.2900 0
1986 6 19 63.0000 0
1986 6 20 63.2500 0
1986 6 24 63.7700 0
1986 6 25 64.2300 0
1986 6 26 62.9400 0
1986 6 27 64.0800 0
1986 6 30 64.1200 0
1986 7 1 64.2000 0
1986 7 2 64.4600 0
1986 7 3 65.2600 0
1986 7 4 66.4200 0
1986 7 7 67.9300 0
1986 7 8 67.8500 0
1986 7 9 67.0100 0
1986 7 10 66.0600 0
1986 7 11 65.9100 0
1986 7 14 67.9300 0
1986 7 15 68.7500 0
1986 7 16 68.8500 0
1986 7 17 69.5800 0
1986 7 18 69.8400 0
1986 7 21 69.9900 0
1986 7 22 70.0700 0
